K_sub,COD_HOSPITAL,subgrupo_referencia,n_vecinos_subgrupo,estabilidad_individual
2,101100,S1,39,0.870363121229091
2,102100,S1,39,0.5932611517584073
2,103100,S1,39,0.868370621324903
2,103101,S1,39,0.5512709493135312
2,104100,S1,39,0.867370977240636
2,104103,S1,39,0.8548505139065659
2,105100,S1,39,0.7775924813694334
2,105101,S1,39,0.8595706059348953
2,105102,S1,39,0.6890468337946244
2,106100,S1,39,0.807751173806791
2,106103,S0,13,0.5347317546297112
2,107100,S1,39,0.8620496536954428
2,107101,S1,39,0.6913559342395416
2,107102,S0,13,0.8175062714861547
2,108100,S1,39,0.7732817513098562
2,108101,S1,39,0.8598641715737506
2,109100,S0,13,0.8081413798508789
2,110100,S1,39,0.855724429763803
2,110120,S1,39,0.5060754375530574
2,110130,S0,13,0.7959830974035089
2,110150,S0,13,0.775901598878054
2,111100,S0,13,0.7523051338278791
2,111101,S1,39,0.8138772971678535
2,112101,S0,13,0.8006174872286288
2,113100,S1,39,0.8296242194503571
2,113150,S0,13,0.802884457200402
2,113180,S0,13,0.7506154561313364
2,114101,S1,39,0.8551057026637534
2,114103,S1,39,0.4854894012992027
2,114105,S1,39,0.8422952630940241
2,115100,S1,39,0.8424230813335629
2,115107,S1,39,0.8002917194718139
2,115110,S0,13,0.8042387446500825
2,116100,S1,39,0.6842355800527266
2,116105,S1,39,0.8834828723045598
2,116108,S1,39,0.7875633090100045
2,116110,S0,13,0.47452747743890844
2,117101,S1,39,0.8757124620165234
2,117102,S1,39,0.8368423733370605
2,118100,S1,39,0.8517843230712894
2,118105,S0,13,0.6309853932407805
2,119100,S1,39,0.8602079984773585
2,120101,S1,39,0.8678648817876337
2,121109,S1,39,0.871876946897683
2,121121,S0,13,0.8448904433363936
2,122100,S1,39,0.8712716659470701
2,123100,S1,39,0.8626992042436985
2,124105,S1,39,0.8566929338689289
2,125100,S1,39,0.8419041662086675
2,126100,S1,39,0.8477340541975866
2,128109,S0,13,0.8086746341790477
2,129100,S1,39,0.8560699183561801
2,129106,S1,39,0.8654660209683493
2,133150,S1,39,0.8730026680054471
3,101100,S1,28,0.8335801092780323
3,102100,S1,28,0.6458948979453787
3,103100,S1,28,0.8051990484998236
3,103101,S1,28,0.5335650536965639
3,104100,S1,28,0.8428499305169254
3,104103,S1,28,0.8319143012289887
3,105100,S1,28,0.7920999648351564
3,105101,S1,28,0.8310101117463332
3,105102,S1,28,0.7154548000242845
3,106100,S2,10,0.8682858989474964
3,106103,S0,13,0.4365255417707589
3,107100,S2,10,0.5914498453268118
3,107101,S1,28,0.7258546614662221
3,107102,S0,13,0.754043068809807
3,108100,S1,28,0.7841385544421609
3,108101,S1,28,0.8166305377964947
3,109100,S0,13,0.6856084748114143
3,110100,S1,28,0.6719030577763608
3,110120,S1,28,0.4909518168014023
